id,document,label
50,과정은 나름 볼만했다. 하지만 결만은 뻔하고 식상하다..,0
51,재밌게 잘 봤어요ㅋㅋㅋ 남자너무멋져!!,1
52,"아, 진심 한국애니의 미래입니다....",1
53,코미디 영화지만 정말 재미있었다.. 캐릭터 들도 확실해서 좋았고,1
54,어린시절 강한인상을 남긴 영화,1
55,보면 진짜후회함. 진부하고 지루하고 재미없고 돈아깝고 보고있으면 짜증나,0
56,"'오직 사랑'을 외치기 위한, 의미없는 설정의 연속",0
57,어유 답안나오는 한국영화 ㅉㅉㅉ,0
58,정말 나에게는 애니메이션영화에서 최고로 재밌었던 영화였다,1
59,본지 너무 오래 되었지만 당시에 본 다른 영화에 비해 남는 것이 전혀 없음,0
60,재미있다고!!!!! 블루레이 짱짱 화려한 배경 짱짱,1
61,전 솔직히 심장이 떨어지는 줄 알았음. 깜.놀. 개재밌음.,1
62,안토니오 반데라스가 어떤 배우인지 보여준다!,1
63,이 영화보러 돈 내느니 차라리 맨홀에 돈버리는게 더 나을듯,0
64,이런 영화도 만들수가 있구나~,0
65,"일상처럼 흐르는 충격적인 사건들. 악, 분노, 용서...던져진 문제들.",1
66,어린시절.아직도 잊혀지지 않는 아름다운 사랑이야기....,1
67,부분부분 수OO전 스토리를 떠올리게 하는 신기함 이외에는.,0
68,섹시하지도 귀엽지도 않은데 뭘 어쩌라는건지..ㅡㅡ;;,0
69,진짜 0점 주고싶다. 이딴식으로 또 관객들 뒤통수를 치다니,0
70,지금 봐도 감성적이다 달달하게 느껴질 줄이야슬픈 엔딩이라 여운이 더 짙다,1
71,정말 지루하다. 지루한 것은 참기 힘들어.,0
72,네이버 평점에 심하게 낚였다. 보는 내내 지루해서 끌까말까 망설였는데..,0
73,좀 지루했는데..나쁘진 않았다,0
74,미리 쓰는 우디앨런의 귀엽고도 사랑스러운 유서적 농담,1
75,줄거리 이렇게밖에 못하나 진짜...내가 술취해서 발로써도 이거보단 나을듯,0
76,나 이소룡 좋아하는데 이런 식의 어설픈 전기는 정말 싫다.,0
77,르노형 그냥 이름을 '포'로 바꾸세요,0
78,압권인 대사.. 신들린 연기.. 크아..,1
79,연기도 너무 어설프고 뭘 말하는지도 모르겠다. -_-,0
80,내가 좋아하는 배우다 여운이 긴 영화 감동감동!!,1
81,아이들이 너무 재미있게 봤습니다^^ 캡숑 짱 추천입니다^^,1
82,막장 더빙 금지령이라도 내려야 할것같다.,0
83,ㅠㅠ 보면 돈이 아까워서 안됩니다.,0
84,좋은 영화인데....재미가 너무 없다....ㅠㅠ,0
85,"""자살관광버스"" 표절의혹..반전마저 느낌없는 무채색영화",0
86,"분명 감동적인영화인데, 하나도 와닿는게없고 뭔소린지도모르겟음",0
87,기분전환에 좋은 영화였습니다.~,1
88,"포스터는 좋아보이던데, 내용도 그림도 별로..",0
89,토토로 너무 귀여워요. 고양이버스 한번 타보고 싶어요.,1
90,병맛같은 스토리에 묻혀 빛을 잃은 배우가 나오는 작품,0
91,정말 중학교시절에 봤던영화데..너무 보고싶어서 또 봤는데.,1
92,이게 예술이야~!! 멋져~!! 모처럼 진짜 멋진 영화를 접했어~!,1
93,나이새기시러진짜시러솔직히오바잔아,0
94,이유없음과정없음설득력없음BGM도없ㅋ음ㅋ감독맘대로 만든것같은 불친절한영화,0
95,기대를 아예 안 가졌더라면 재미있었을까..?,0
96,표 값과 시간이 아까웠던 영화,0
97,쩌는 시나리오 쩌는 연기 환상의 소피아 결론은 제이미 벨 이 축복받은 놈,1
98,너무 기분좋게봣습니다~ 적극 추천!!,1
99,왜 그랬니? 피트 출현할 영화가 그렇게 없디?,0
100,내가 고등학생때 이 영화가 나왔는데 그때 봤더라면 ..,1
101,융과 슈필라인의 관계에 물꼬를 터준 뱅상 카셀의 카리스마 넘치는 연기,1
102,소소에 지루한 이별여행...관심없다!,0
103,90년대영화여서 그런지 별로네요,0
104,브루스윌리스 이제 영화 막 찍는구나,0
105,재밌게 봤다 유쾌한 영화임 ㅎㅎ,1
106,성룡액션 + 주성치 스타일의 공중부양. 두서없는 내용전개,0
107,호텔 벨보이 더그의 꿈이 아직도 나의 가슴 뛰게 한다.,1
108,리즈와 마크는 왜 이런 영화를 찍었을까... 배우가 아까워.,0
109,"지금 보니 엉성하지만, 당시 어렸던 내가봤을땐 한장면 한장면 정말 굉장했다.",1
110,너무재밌음 ㅋㅋㅋ우리집에 비디오로있는데,1
111,어린이들이 보는데에는 좋겠는데... 나름 좋음,1
112,미안하다 나도 평점맞추기에 끼어든다,0
113,5년전에 보고 제목을까먹었었는데 어제 찾아서 다시봤음,1
114,김윤석 액션장면만 빼고 전부 지루함...,0
115,뿌리깊은나무가 커피면 대왕세종은 TOP야,1
116,이 영화는 분명히 청소년기에 꼭 봐야할 영화다.,1
117,개 굿 입니다 보세요 ㅋㅋㅋㅋ,1
118,꼭 봐야하는 영화 마지막이 정말 소름끼치고 시민들의 하... 걍 닥치고 보자,1
119,"이거 잼있던대,, 평점이 낮지 희한...",1
120,진짜 너무 재밋고 감동이었지..,1
121,분노하겠습니다. 잊지 않겠습니다.,1
122,억지 공포감을 자내기엔 너무나 턱없이 부족한 각본과 감독의 재능.,0
123,효주가 좋아서 계속 보게 되었지만 효주가 아직 어려서 밋밋하고 푸풋함,1
124,괜찮은 소재를 적절히 섞지 못하는 감독과 뒷북치는 배우들...,0
125,너무 잼있음.. 가장 저평점화된 영화,1
126,궁금한게있는데 솔까서 박정희대통령 시절때 누가 억울하게 죽었는지 궁금한데요,0
127,평점을 제대로 안 본 나를 저주한다. 공포영화아님. 코미디영화지.,0
128,으아... 성우가 최악이다-_- 일본판보고십어,0
129,평온함과 자연과 어울려 사는 사람들의 따뜻한 이야기,1
130,스승님 오늘은 평점 알바 안하면 안돼요???,0
131,기발한 영화 옛날에 재밌게 봤었다.,1
132,나레이션도 좋았고 OST도 좋았고 많은 생각을 하게 해준 드라마였다,1
133,어렸을때 보고또보고 했다.. 그 머신건이 아직기억에남음,1
134,그냥 가슴이 뭉클하고 다시 중고등학교때 추억과 마치 그때느낌이 든다~,1
135,너무재밋다...눈을뗄수가없다...,1
136,이편까지 완전 좀비영화(명작)급 수준,1
137,이 영화는 8점대를 넘어야 정상인 영화다!,1
138,이름만 놀라운 속편 갈수록 점점 안스럽게 변한다,0
139,학생 개 답답함 스토리 어이없음마지막 학살 웃음만 나옴,0
140,굳이 이런 평가를 받는 2010년 영화를 개봉하는 이유를 알고 싶다,0
141,배신에 배신을 더하는 골때리는 영화,1
142,이런 카메라 기법 너무 싫다. 그리고 이거 유치해.,0
143,새로움 없이 예전에 많이 보아온 공포물 더 어설프다,0
144,정말 오랜만에 눈물이 펑펑났네요,1
145,진짜 드러나기 싫어하는 호프만의 모습이 인상적!,1
146,시원하게 웃을 수 있게 해주는 드라마!ㅋ,1
147,귀신나왔는데 왜 방 불을 안켜냐,0
148,감독의 과잉해석이 억지 신파를 불렀네,0
149,불륜이라는 소재때문이 아니라 걍 재미가 없다. 특히 윤진서 연기는 최악.,0
150,"인터뷰 형식, 단순한 스토리의 구조. 다소 지루한...",0
151,자기만에 세계에 빠진영화. 다른걸 떠나 너무 지루하다.,0
152,아직도안끝났나?전파낭비다 차라리다큐를해라 피디도능력없음바꿔라!,0
153,마하2.6 풀스피드랑 왜이렇게 비교되냐...,0
154,이 영화를 만든 의도가 뭐냐?,0
155,"3기보단 아니지만, 확실히 재미는 있음",1
156,처음부터 범인을 알려주는...마지막까지 어처구니가 없구나 1점도 아깝다,0
157,이젠 나올생각마요. 잘자요. 더이상 피해자들 스크레치남기지 마세요,0
158,외로운 사람들 인연이 더욱 따뜻하게 다가왔던..!!,1
159,허세스럽고 촌스럽다. 예쁘지도 않은데 너무 과하다.,0
160,very very very good,1
161,그래서 뭐. 뭘말하고 싶은건데,0
162,진짜 행복한 영화. 음악도 좋고 배경도 예쁘고,1
163,스티치앓이 중 ㅜㅜ 너무 귀여워서 미치겠다ㅋㅋ 그리고 영화가 완전 감동ㅠㅠ,1
164,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ좋네요!뭔가통쾌하고 유머러스하네요,1
165,9점만들기. 와우 나 착하지? 수도권시청률 1.9%를 낸 신기한 드라마,1
166,이렇게 원작을 망치기도 힘들겠다ㅋ,0
167,그렇게 잔인할 필욘없잖아 스너프영화냐?,0
168,당시 중학생이었던 나를 울렸던 너무나 슬픈 영화..,1
169,조잡한 화면에..우선. 졸작...;;,0
170,완전 재밌어요..재범과 소란커플 더 많이나왔으면 좋겠네요,1
171,시청률도 좋았고 연기력또한 좋았음,1
172,이런식상한 줄거리는 나도쓰겠다,0
173,내가 이걸 왜 본건지 ... 점수 0점 이하는 없나요? 미이너스 같은거,0
174,성룡 영화 좋아하지만 이건 진짜 최악이다. 서극 감독 왜 이랬을까...,0
175,난 되게 잘봤다.. 이런 우울한 영화 좋아.. 엔디 가르시아 연기 최고..,1
176,평점이 왜 이래? 내가 티끌이라도 올려 놓겠어,1
177,시간이 아깝다. (10자 이상!),0
178,이런 좋은 영화가 더 많이 홍보되어야할텐데요,1
179,영화 예고편이 제일 무서워요!,0
180,헤어질 무렵에 생각날 델과 킴,1
181,평이 너무 높다 5.8정도 로하면 될듯,0
182,한효주는 역시 연기의 신이다.매력이 넘쳐.,1
183,야곱신부 너무 감명받았습니다 강추^^,1
184,류승범형님 괜히출현했어.. 다른 스릴러나 찍을껄..,0
185,본인은 이 영화에 대해 매우 형편없다는 반응을 나타내었다,0
186,아주 아주 굿......^^*,1
187,5점정도가 적당한 영화...역시 안졸리나는 액숑이다,0
188,이게무슨짓이야!! 이게 이영화 평입니다.,0
189,모든게 2%씩 다 부족했다...아니..50%씩...,0
190,시나리오에서부터 연출까지...완벽한 쓰레기 영화.,0
191,돈다발로 똥만들기도 쉽지않을텐데. 능력이다 능력.,0
192,보고 짜증나 죽는줄알안네..이런게 재밌냐?,0
193,진짜 돈 아까워!!열라 내가 해도 그거보다 잘한다-_-,0
194,2편은.참. 유쾌하다..최고..,1
195,"마음 속을 가득채우는 영상과 단어들, 고다르, 새, 잔다르크, 나나",1
196,그리움이란 새로운 인연의 시작을 알리는 신호인 것을..고게 잘 표현된 영화,1
197,앨리스와 하나의 버디무비 소녀버전 노킹 온 헤븐스 도어,1
198,이런유치한 영화를 왜 보고 있었던건지.그래픽도엉성,0
199,"재미도 없고 영국인, 역사 속 인물들을 이용한 파렴치한 농담 따먹기.",0
200,"빈곤한 시나리오, 식상한 연출, 어울리지 않는 베드신과 여우.",0
201,진심 연예인 성우 좀 쓰지마라;; 저게 뭐냐 저게;;;,0
202,깜짝파티를 이루기 위한 고공분투??? 이야기한번 시시하네,0
203,정말 배우들이 아깝다...!!,0
204,예쁜 주인공이라도 쓰던가. 옷만 벗기면 다 되는 줄 아는 모양. 딱하네.,0
205,역사적 배경을 알고 본다면 결코 나쁘지 않은 영화,1
206,"어렸을 때는 재미있었지만, 결국 어쩔 수 없는 표절작.",0
207,그만 좀 우려먹어라!! 재미와 흥미 없으며 이젠 지겹다,0
208,이렇게 까지 평점이 높은 이유를 모르겠네요,0
209,오래된 영화지만 이렇게 실감나다니....! 참으로 명작이로고...,1
210,보리울의 여름 O.S.T.노래 정말 좋아요!!^.^,1
211,좋은 영화였습니다. 마지막에 국기가 걸린 모습을 볼 때는 울 뻔 했고...,1
212,처음에는 나름 좋았는데 아쉽다...허나 배우들이 많이 나오네~ㅋ,0
213,아놔 이 영화 약빨고 찍었냐??뭐 어쩌라는건지??,0
214,지루해서 보는 내내 끝나면 뭐할까 생각함,0
215,평행이론이란 흥미로운 소재를 가지고 이렇게 재미없게 만들 수도 있나,0
216,"섹시한 여자들만 잠깐 등장하고 내용도 없어 .,.이게뭔지",0
217,정말 잘 만든 영화네요감동!!!영화제작에 참여하신 모든 분들 감사드립니다^^,1
218,"이건 뭐야,책이 낫다... 이거 보지마셈",0
219,옛날에도 재밌었고 지금봐도 재밌는 영화,1
220,"단언컨데, 폴 버호벤 감독의 최고 걸작.",1
221,이런 영화 왜 수입하는거지...,0
222,제임스딘 그의 매력을 누가 따라올까...,1
223,이게 뭔 액션이냐........ 개차반이네 ㅋㅋㅋㅋㅋㅋ,0
224,나능좋은데 ㅋ 3번봐도 초반전쟁씬 전반내용을 이해못하겠엌 영화는 좋음,1
225,감독은 발이 참 넓다 쓰레기 시나리오로 배우를 캐스팅하기란..,0
226,삶과 죽음사이에 있는 오해와 미련들,1
227,가슴찡한 우정담에 완전! 감동입니다!,1
228,완전 재밌어요~~ 연기도 다들 잘하고 이쁘고 짱짱!!!대박나길♥?♥?♥?,1
229,상업영화가 이정도로 재미없는건 죄악이다,0
230,에휴. 구스 반 산트 영화가 다 그렇지 머,0
231,청춘예찬. 야한장면보다 그들의 아름다운 고뇌에 집중해보자,1
232,신선한 주제... 묘한 느낌.... 재밌네요,1
233,소소한 감동~ 보고 나서 더 생각나는 영화,1
234,지루해서 잠오고 죽는 줄 알았다.,0
235,엘르 패닝의 놀라운 연기와 사춘기 소녀들의 불안한 감성!,1
236,나이 먹어도 코난은 어릴 때 그대로 재미있네요,1
237,중국 애니메이션의 한계를 보여주는 작품..,0
238,갑을 그대로 둔 채 을과 병이 싸우는 블랙코미디는 지금도 현재진행형.,1
239,주군의태양 때문에 보게 됐는데 완전 감동ㅠ.ㅠ잊지못할 애니메이션ㅎㅎ,1
240,킬링타임에 킬자도 아까운영화!,0
241,내가 본 일드 중 쵝오~!!!!!>0<,1
242,"초딩을위한영화에 동의 ㅡ,ㅡ 클라이막스없는 끝",0
243,재미도 있고 작품성도 있고 ㅋ,1
244,왜 난리쳤지 대수롭지도 않은 작품이구만,0
245,오페라보다재미없다좀더현실감있게하려고한건알겠는데그냥러브포션등장하는게더재밌어,0
246,내용은 기억안나고 애들이 너무 시끄러워서 짜증났음,0
247,"보지도 않고 선입견 가지지마라...연출,극본,연기 모두 수준급의 드라마다",1
248,재밌겠지 하고 끝까지 참고 봤는데 허탈감 뿐이다. 시간이 아깝다,0
249,연출과 연기가 훌륭한작품실제로 경기를보는듯한 기분이드네요,1
250,어릴대 TV에서 자주보던 거다 ㅎㅎ,1
251,잘 만들었기도 하고 무엇보다 좋은^-^ 영화이기고 하고,1
252,절로 사람 힘 빠지는 곳 이야기 그래서 더 감동적~,1
253,너무 재미있어요. 해피앤딩으로 끝났으면 좋겠어요~태희자은 행복하게 해주세요!,1
254,몰입도를 주는 요소가 없는 것 같다. 아쉽다.,0
255,↓이 영화 보긴 했수? 메가패스존에서 볼수 있음! 감동..,1
256,꼭 이따구로밖에 표현을 못하나? 의도는 알겠는데 좀 짜증난다.,0
257,OMG... 스토리가 천재적이네... 이런 소름끼치는 전개 좋다,1
258,보면서 많은 감동과 생각을 하게되었습니다. 10점도 과분하다고 생각하네요.,1
259,고등학교 때 비만 오면 이 영화가 떠오르던 때가 있었다,1
260,오글거리고 지루하고 눈감고 노래만 듣는다.,0
261,ㅋㅋㅋㅋㅋ은근히재미엇는데...ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나두초딩때봣어~~~~~~~~~~,1
262,"나에게도눈부신하루가있었나돌아보게했고,이순간을소중하게했다",1
263,정말 재미없다.그래도 나오미와허드슨땜에,0
264,진쨔 재밌어 요ㅠㅠㅠ 정말정말,1
265,평점보다 중요한 건 관객수다...,0
266,일본판 쏘우를 기대했는데 실망,0
267,"이 영화 보면 머리카락 100개는 빠진다. 스트레스 때문에, 열화통 터져서",0
268,와 이 영화는 명장면이 아주 많다. 또 보고 싶다.,1
269,생각보다 의외로 괜찮았던 영화,1
270,"연기 허접,연애타임에만 집중, 너무 조화 안됨",0
271,사람에 대한 사랑이 아픈 시대와 같이...,1
272,정말 최고의 드라마였습니다..ㅜㅜ,1
273,무조건 벗는다고 조잡함 과 억지스러움이 사라지는건 아니다.,0
274,사랑의 아픔을 치유하는 향기... 라벤다,1
275,중간에웃기고 잼게봤음 하얀말 귀여움ㅋㅋ,1
276,재밌게 잘 봤어요 추천합니다.,1
277,풀리지 않는 의문이 있긴하지만 전체적으로는 괜찮은 영화였어요.,1
278,"코끼리,여자는 왜나오고엔딩은 뭐지?.. 진짜 엔딩은 뭔지아오 ㅋ 빡ㅋ쳐ㅋ",0
279,당찬 여자 티아나가 호감이더군요. 현실에도 저런 여성분들이 많겠죠?,1
280,무미건조한 웃음 뿐...이성재의 연기는 기대이하다...,0
281,왜 더빙을 개그맨을 시켰지 ㅉ ..,0
282,우왕 굿 이거 좀 짱인듯??????????????????,1
283,지루하다..뻔한스토리..전편이 훨씬 괜찮은것 같다..,0
284,이런 엉망인 영화는 오랜만이네요여주가 예뻐서 1점 줍니다,0
285,글로리아의 매력이 여전히 살아 숨쉬는 영화,1
286,훼이크다큐는 더이상 내게 아무런 감흥도 주지 못한다,0
287,아 궁금해서 봤는데 시간 ㅣ아깝다 아 내시간,0
288,미장센과 편집 그리고 미학의로서의 폭력이 정점에 달한,1
289,어쩌다 이걸보게되선 ㅡㅡ;; 시간이 진짜 아깝다,0
290,태국인들의 과장된 발연기가 내내 마음에 걸리는 영화,0
291,너무 속보이는영화라 이건 ..대선직전에 표끌어모을려고 만든 영화,0
292,케네디가그냥 케네디가아님을..,1
293,작위적 설정이라는 냄새가 끝까지 풍기는구나,0
294,찜찜하네..감독 소유진은 왜 죽여,0
295,어제 딱 한번 봤는데 완전 막장이더군요 스토리 뻔한것 같네요,0
296,마음이 어지럽고 힘들때 보니까다시 행복해지는 아름다운 영화네요,1
297,이걸영화라구 만드냐.. 흑흑 돈이 아까워,0
298,정말 제목 만으로도 가슴을 울리는 영화,1
299,공룡쭈쭈보다공룡은더나은데그세도역시삼류!,0
300,무료로 올레서 봣는데ㅡ화가난다....난화가나...,0
301,암 그라제잉 감성팔이하는데 독립영화정돈 만들어 줘야제잉!!,0
302,6점대 영화가 아닌데 이거 영상미가 너무 아름다워서 3번도 넘게본 영화임,1
303,다시봐도 액션 명작이네.. 97년도에 만든건데 후덜덜하네요,1
304,맨온파이어 만큼 임팩트있는 덴젤워싱턴,1
305,이렇게까지 식상할줄은 몰랐어..,0
306,쓰레기 평점알바씁니다 보지마세요,0
307,겁나 기대합니다 ㅎㅎㅎㅎ 꼭 봐야하는 영화 인거 같음,1
308,재밌당 진짜.... ㅋㅋ 시청률 낮은게 이해가 안되용,1
309,기묘하기는한데 무슨내용인지..일본영화는 언제나 어려워..,0
310,사실감넘치는 스토리 뛰어난 연출력 배우들의 명연기 별기대없이 봤다 대박!!,1
311,"진띰 완전 잘생겼어~!!>< 피터팬,,ㅎ",1
312,야마다 솔로 활극....그냥 실험 영화...,0
313,코미디도 아름답게 풀어내는 미셸공드리만의 재주!,1
314,이것은 1점이 아니다 11점을 주고싶은 내 간절한 마음이다,0
315,평점이 높아서 봤는데 딱 싫어하는 스타일..,0
316,모든면이 아쉬운영화.. 이것도 저것도 아닌 중간치 성인코미디,0
317,배우들 값좀 해라 시시했던 작품,0
318,연출은 그저그랬지만 톱 여배우 두 명의 열연으로 10점받을 가치 충분.,1
319,악어가 크다고해서 영화가 대작일 순 없는 법,0
320,이쁜여주인공이나오는 재밌는 코미디영화네요 ㅎ,1
321,트페 나와서줌 ㅋㅋ 아 갬빗말이에요 갬빗,1
322,한국영화의 수준을 알수있는 대표작,0
323,모르겠네요. 쟁쟁한 다른 작품들이 있어서 묻힐것 같습니다;;,1
324,그래도 이준기 실컷봐서 좋았음2,1
325,"어쩐지 벤이랑 맷이랑 절친이었구나. 윌, 리브, 맷 빼곤 볼 것 없음",0
326,"처음본순간 충격, 평생 잊혀지지 않는 영화.",1
327,나의 스컬리를 아만다는 낚시네 남자 배우만 횡재했구먼,0
328,진짜 괜찮은데.. 휴 가슴이 답답해질정도로 많은 생각하게 되네요,1
329,뜨거운 심장만 소유하고 있다면! 다니엘데이루이스에게 찬사를.,1
330,탕웨이... 정말 매력적인 여자...,1
331,발연기 도저히 못보겠다 진짜 이렇게 연기를 못할거라곤 상상도 못했네,0
332,이걸 영화라고..별 한개이상 준사람들은 뭐지 최악의 쓰레기 영화,0
333,볼 때마다 마음 따뜻해지는 영화..,1
334,내가 봐도 싸우는 장면이 재밌었다.,1
335,백문이불여일견 꼭 봐야하는 영화입니다.,1
336,마이클꼴레오네가 식당에서 총쏘는 그 씬은 예술이다.,0
337,이만큼 인생의 쓸쓸함을 정면으로 조명한 영화는 없었다,1
338,오해와 의심이 만드는 아이러니의 공간을 파고드는 코엔 형제의 농담 센스,1
339,치매에 대해 이해하기 쉬운 영화...노년을 아름답게 받아 들이자...,1
340,투박함 속에 담긴 진실.... 진정한 영화의 힘....,1
341,스타워즈 시리즈중 최악 45236순서로 보는걸 추천‥ 1은 진짜 노잼‥,0
342,지루하고 촌스럽다 슬로우씬이 왜이렇게 많아 진짜 구려,0
343,내가 좋아하는 스타일이 아니라 좀 지루했던 감이 있었다.,0
344,가슴은 아픈데... 쫌 거시기하다...,0
345,인생영화테이큰 아저씨그이상감동,1
346,왜 재미없는지 nc리뷰나 원작을 보고오세요 퍼니플래닛에 있음,0
347,미국 에서 별에서온그대 리메이크한다고함,1
348,최고의 여운! 최고의 감동! 최고의 생동감!,1
349,배우가아닌 진짜합창단이해서 감동이에요!코러스 최고,1
350,사공이 많으면 배가 산으로 간다,0
351,곽지민 매력터지고 얼굴 너무 이쁘다 내스탈 ㅠㅠ 곽지민짱,1
352,"언제 웃길려나 했더니, 끝끝내 웃기지 못하고 끝나는 블랙코미디",0
353,5분짜리 가지고 몇시간을 울궈먹은거야 이거,0
354,결혼에대한이야기 좀막장잇는데 드라마는역시막장이재밋고 내용좋음,1
355,이야 대한민국최악영화 순위에올라갈듯 옛날 우뢰매가 100배낫다,0
356,살인에 침묵하는 사람들 관객까지 침묵시키네,0
357,정말 잘만든 드라마였습니다 . 좋은결말이었지만 너무일찍끝나 아쉽네요~,1
358,평점이 너무 낮네; ㅋㅋㅋ쨋든 잼잇엇음 ㅋㅋㅋ,1
359,디워 만도 못한영화는 오랜 만이다,0
360,왜 좋은배우들을 가지고...이렇게 만들었을까...하아..,0
361,너무도 아름다운 영상과 비장한 스토리,1
362,멜깁슨과 로맨틱코미디가 이렇게 잘 어울릴줄이야.,1
363,쓰레기영화 돈주고봤는데 잼없음,0
364,이런 영화도 극장에서 개봉하는구나....,0
365,OO이란 케릭터가 너무 멋있다.,1
366,베드신말곤볼게없다ㅋㅋㅋ공포영화맞는건가?,0
367,유치하고 지루하고 닭살돋고..,0
368,어제 센텀시티에서 봤는데 너무 좋았어요. 마지막에 나도 모르게박수를..,1
369,이 좋은 소재로 이렇게 밖에 할수없었단 말인가...,0
370,생각하게 만드는 영화다....,1
371,"공동체라는건 바로 이런 것이구나, 느낄 수 있게 해주었습니다. 감사합니다.",1
372,정우성이라는 배우를 다시 보게된 영화. 허진호 감독의 영화는 다 좋다~,1
373,전편과 비교해도 손색이 없다 음악도 여전히 좋고,1
374,기대없이 다운받아봣는데 그자리에앉아서 다봄. 보는내내 씁쓸하고 가슴서린느낌,1
375,정말 재밌게 봤다.. 처음엔 긴가민가 했지만 진짜 배꼽빠지게 웃었다,1
376,나루토 정말 좋아했는데 결말이 내용하고 안 이어지는 것 같다...많이 실망,0
377,지 맞춤법이나 맞추고 이야기하쇼 ㅋㅋ 평점 10점 미개수준 ㅋㅋㅋ,0
378,이제 본게 후회되는 최고의 영화입니다.,1
379,내가사는피부가 아니라 내가사는모습 그것이다,1
380,좀비 공포물이 뭐 이리 잔잔하고 조용할꼬...정말 지루하기 짝이 없군...,0
381,사랑은 결코 미안하다는 말을 하지 않는...,1
382,킬러조 행님 성지 슨례 왔습니다.,0
383,재미없다..1점준것중에 한국영화는 죄다 10점준 매미 OO있네,0
384,이광국 감독의 다음 작품이 기대됩니다.,1
385,시간가는줄 모르고 봤네요 진짜 재밌는데 평점이 왜케 낮은걸까요? 완전 강추,1
386,이렇게 핵노잼으로 만드는 것도 재주,0
387,이런 건 프랑스 영화가 아니라니까,0
388,와 그냥 대박이라고밖에 할 말이 없다 굉장히 재밌다 나도 참가 하고 싶다,1
